abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
TBL,CAR,3,9,46.3,15,12,Hurricanes,6,1/6,14,53.7,18,0,14,Lightning,12,0/3
CAR,TBL,0,12,47.3,15,14,Lightning,10,0/1,13,52.7,22,2,12,Hurricanes,2,0/5
TBL,NSH,1,12,44.9,20,18,Predators,6,1/3,13,55.1,22,3,14,Lightning,8,1/2
NSH,TBL,4,14,41.7,24,14,Lightning,35,0/2,11,58.3,21,5,18,Predators,29,2/5
FLA,TBL,3,7,37.1,21,14,Lightning,5,1/4,9,62.9,13,6,13,Panthers,13,0/0
FLA,TBL,4,13,45.9,22,14,Lightning,15,1/4,18,54.1,20,2,13,Panthers,13,1/5
TBL,FLA,1,7,36.6,25,13,Panthers,6,0/4,8,63.4,25,0,14,Lightning,12,0/1
TBL,FLA,2,15,39.0,14,13,Panthers,6,0/4,15,61.0,17,5,14,Lightning,8,1/3
FLA,TBL,3,5,55.2,24,14,Lightning,8,0/1,14,44.8,26,4,13,Panthers,4,2/3
CAR,TBL,3,21,43.1,19,14,Lightning,10,1/4,9,56.9,17,4,12,Hurricanes,8,2/5
TOR,TBL,7,19,44.4,25,14,Lightning,4,2/3,14,55.6,15,3,10,Maple Leafs,6,1/2
OTT,TBL,2,11,56.0,19,14,Lightning,18,0/4,19,44.0,24,4,9,Senators,18,0/4
MTL,TBL,3,25,40.0,37,14,Lightning,10,1/1,11,60.0,22,1,8,Canadiens,2,1/5
BOS,TBL,4,12,54.0,31,14,Lightning,10,0/3,10,46.0,21,3,6,Bruins,8,3/5
TBL,COL,6,15,45.9,18,21,Avalanche,18,0/2,8,54.1,26,2,14,Lightning,18,0/2
TBL,PIT,2,11,54.7,25,5,Penguins,10,0/1,11,45.3,31,3,14,Lightning,4,1/4
TBL,NSH,3,12,46.0,19,18,Predators,8,2/5,9,54.0,18,2,14,Lightning,10,1/4
NYR,TBL,1,10,53.7,21,14,Lightning,13,0/2,15,46.3,20,4,3,Rangers,9,1/4
NJD,TBL,7,10,40.7,16,14,Lightning,10,1/1,12,59.3,19,6,1,Devils,2,1/5
NYI,TBL,2,12,58.7,23,14,Lightning,11,0/3,21,41.3,36,5,2,Islanders,11,0/3
BUF,TBL,3,10,69.0,18,14,Lightning,6,1/4,9,31.0,29,2,7,Sabres,10,0/2
TBL,BUF,3,5,49.3,19,7,Sabres,8,0/2,18,50.7,12,5,14,Lightning,16,2/3
TBL,NYR,3,13,43.3,22,3,Rangers,55,0/4,10,56.7,18,9,14,Lightning,37,5/8
TBL,WPG,4,15,57.8,13,52,Jets,4,1/4,8,42.2,30,3,14,Lightning,8,0/2
STL,TBL,1,14,45.3,33,14,Lightning,10,0/2,15,54.7,18,3,19,Blues,6,0/4
