abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
PHI,NYI,3,16,32.8,23,2,Islanders,6,1/3,18,67.2,26,2,4,Flyers,6,0/3
BOS,PHI,2,15,43.2,15,4,Flyers,10,2/6,5,56.8,26,4,6,Bruins,12,2/5
PHI,WSH,1,12,36.2,19,15,Capitals,8,1/3,11,63.8,23,3,4,Flyers,8,1/3
PHI,BOS,1,18,49.0,32,6,Bruins,15,1/2,11,51.0,24,2,4,Flyers,9,1/5
NYI,PHI,0,0,0.0,0,4,Flyers,8,0/3,0,0.0,0,3,2,Islanders,6,2/4
WSH,PHI,3,8,65.7,22,4,Flyers,18,0/4,9,34.3,21,5,15,Capitals,20,1/3
PHI,VAN,5,15,37.5,23,23,Canucks,6,2/4,19,62.5,38,4,4,Flyers,8,1/3
PHI,SEA,1,7,38.5,25,55,Kraken,46,0/4,8,61.5,26,6,4,Flyers,40,0/2
PHI,BOS,3,18,48.0,32,6,Bruins,4,0/1,23,52.0,35,6,4,Flyers,2,2/2
PHI,FLA,4,12,41.3,21,13,Panthers,8,1/7,12,58.7,23,2,4,Flyers,14,1/4
EDM,PHI,5,26,57.7,27,4,Flyers,8,0/2,7,42.3,21,3,22,Oilers,4,1/4
VAN,PHI,2,7,45.1,13,4,Flyers,15,1/5,14,54.9,41,1,23,Canucks,15,0/5
CGY,PHI,0,12,53.1,10,4,Flyers,12,0/3,14,46.9,11,4,20,Flames,8,2/5
PHI,ARI,0,17,37.7,25,53,Coyotes,6,0/0,13,62.3,23,3,4,Flyers,0,0/3
PIT,PHI,2,14,47.4,20,4,Flyers,4,1/3,16,52.6,39,3,5,Penguins,6,0/2
WSH,PHI,2,12,52.9,15,4,Flyers,6,0/1,20,47.1,19,1,15,Capitals,2,0/3
PHI,TOR,3,16,42.2,16,10,Maple Leafs,8,1/3,12,57.8,22,0,4,Flyers,6,0/4
CAR,PHI,2,18,41.7,16,4,Flyers,10,0/5,12,58.3,12,1,12,Hurricanes,10,0/5
DAL,PHI,2,16,45.0,13,4,Flyers,6,1/4,14,55.0,23,5,25,Stars,8,1/3
PHI,CGY,1,13,40.3,24,20,Flames,12,0/2,15,59.7,23,2,4,Flyers,8,0/4
PHI,TBL,4,20,48.2,24,14,Lightning,4,1/3,20,51.8,20,3,4,Flyers,6,0/2
PHI,BOS,5,9,50.9,33,6,Bruins,17,0/3,8,49.1,29,2,4,Flyers,13,1/5
TBL,PHI,0,8,55.9,28,4,Flyers,4,0/1,10,44.1,29,4,14,Lightning,2,0/2
FLA,PHI,1,21,57.9,28,4,Flyers,6,0/2,7,42.1,15,2,13,Panthers,6,1/2
PHI,CAR,6,10,46.7,20,12,Hurricanes,8,0/4,19,53.3,16,3,4,Flyers,10,0/3
NJD,PHI,2,21,54.2,26,4,Flyers,11,0/3,13,45.8,21,5,1,Devils,11,0/3
NYR,PHI,1,10,51.0,11,4,Flyers,4,0/3,15,49.0,21,4,3,Rangers,19,1/2
PHI,TBL,7,20,50.9,12,14,Lightning,10,1/2,10,49.1,21,1,4,Flyers,8,1/3
PHI,COL,7,17,45.6,21,21,Avalanche,6,3/5,13,54.4,29,5,4,Flyers,10,1/3
NJD,PHI,0,15,67.8,20,4,Flyers,6,0/2,8,32.2,21,3,1,Devils,4,1/3
VGK,PHI,4,20,47.1,30,4,Flyers,12,2/3,13,52.9,20,3,54,Golden Knights,6,1/6
