abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
NYR,NYI,4,10,46.3,21,2,Islanders,8,1/4,8,53.7,23,0,3,Rangers,21,0/3
NYR,BOS,2,11,44.2,20,6,Bruins,10,0/5,11,55.8,37,3,3,Rangers,10,0/5
NJD,NYR,1,9,47.4,23,3,Rangers,8,1/5,6,52.6,14,7,1,Devils,10,2/4
BOS,NYR,4,12,41.5,34,3,Rangers,8,1/2,7,58.5,18,3,6,Bruins,4,1/4
NYR,NJD,2,13,49.1,31,1,Devils,23,0/2,8,50.9,36,6,3,Rangers,31,1/3
NYI,NYR,5,0,0.0,0,3,Rangers,8,3/5,0,0.0,0,4,2,Islanders,12,1/3
WSH,NYR,1,8,60.8,27,3,Rangers,18,1/5,15,39.2,12,5,15,Capitals,16,3/6
NYR,DAL,3,25,50.0,23,25,Stars,10,1/2,13,50.0,32,2,3,Rangers,6,0/4
MTL,NYR,3,18,39.3,23,3,Rangers,6,1/4,13,60.7,31,1,8,Canadiens,8,0/3
TOR,NYR,2,14,24.1,33,3,Rangers,6,0/3,12,75.9,19,1,10,Maple Leafs,6,0/3
NSH,NYR,3,10,45.3,15,3,Rangers,8,0/4,4,54.7,10,1,18,Predators,10,0/3
OTT,NYR,3,13,40.0,45,3,Rangers,20,1/4,18,60.0,33,2,9,Senators,20,0/4
NYR,CGY,5,16,39.2,20,20,Flames,6,1/2,18,60.8,27,1,3,Rangers,6,0/2
NYR,CBJ,0,13,57.7,11,29,Blue Jackets,8,0/3,16,42.3,26,4,3,Rangers,8,2/3
SEA,NYR,3,21,45.6,26,3,Rangers,8,0/2,13,54.4,21,1,55,Kraken,4,0/4
VAN,NYR,2,18,47.7,24,3,Rangers,12,2/5,12,52.3,24,3,23,Canucks,10,0/6
EDM,NYR,5,23,41.5,21,3,Rangers,4,1/2,12,58.5,27,6,22,Oilers,4,2/2
CGY,NYR,0,12,51.0,27,3,Rangers,11,0/3,10,49.0,13,6,20,Flames,11,1/3
