abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
TOR,OTT,1,12,0.36,47,9,Senators,8,0/2,4,0.64,31,4,10,Maple Leafs,6,0/3
TOR,OTT,4,14,0.5489999999999999,46,9,Senators,8,1/3,9,0.451,31,2,10,Maple Leafs,6,0/4
WPG,OTT,3,12,0.40399999999999997,24,9,Senators,6,0/2,14,0.596,26,5,52,Jets,4,2/3
OTT,TOR,6,0,0.0,0,10,Maple Leafs,13,1/4,0,0.0,0,3,9,Senators,13,1/4
OTT,MTL,4,9,0.38299999999999995,12,8,Canadiens,10,0/3,10,0.617,24,5,9,Senators,6,3/5
MTL,OTT,5,12,0.6,31,9,Senators,25,1/1,12,0.4,18,4,8,Canadiens,11,1/3
MTL,OTT,4,0,0.0,0,9,Senators,17,0/5,0,0.0,0,3,8,Canadiens,15,1/6
OTT,MTL,2,0,0.0,0,8,Canadiens,22,1/6,0,0.0,0,3,9,Senators,34,2/5
BUF,OTT,1,10,0.551,18,9,Senators,8,0/4,11,0.449,9,4,7,Sabres,8,0/4
TOR,OTT,2,19,0.508,53,9,Senators,4,1/2,14,0.49200000000000005,37,3,10,Maple Leafs,4,1/2
OTT,BOS,5,13,0.5,23,6,Bruins,13,1/3,11,0.5,33,7,9,Senators,15,0/2
OTT,WSH,2,21,0.358,24,15,Capitals,15,2/4,12,0.642,28,5,9,Senators,15,2/4
OTT,ARI,2,14,0.375,24,53,Coyotes,17,1/5,11,0.625,28,6,9,Senators,19,1/4
OTT,DAL,2,21,0.5,20,25,Stars,8,0/3,16,0.5,33,4,9,Senators,6,1/4
OTT,MIN,4,24,0.516,25,30,Wild,22,1/4,10,0.484,37,2,9,Senators,20,1/5
FLA,OTT,3,15,0.444,39,9,Senators,16,1/2,13,0.556,30,5,13,Panthers,12,1/4
TBL,OTT,3,19,0.5489999999999999,32,9,Senators,26,0/3,21,0.451,32,4,14,Lightning,13,1/8
OTT,VGK,5,21,0.5,26,54,Golden Knights,6,1/4,7,0.5,20,4,9,Senators,8,0/3
OTT,PHI,2,28,0.414,30,4,Flyers,10,1/3,19,0.586,33,1,9,Senators,6,0/5
OTT,VAN,6,16,0.435,24,23,Canucks,17,0/3,10,0.565,25,4,9,Senators,13,2/5
NJD,OTT,3,23,0.5,14,9,Senators,6,1/4,11,0.5,6,4,1,Devils,8,1/3
PHI,OTT,4,14,0.44799999999999995,38,9,Senators,16,2/3,14,0.552,59,1,4,Flyers,16,0/3
OTT,NYI,4,20,0.508,26,2,Islanders,17,2/3,10,0.49200000000000005,15,2,9,Senators,11,1/6
OTT,BUF,1,9,0.429,10,7,Sabres,14,1/8,19,0.5710000000000001,27,4,9,Senators,18,1/5
OTT,NJD,5,11,0.408,23,1,Devils,4,1/4,12,0.5920000000000001,37,1,9,Senators,8,0/2
SJS,OTT,1,17,0.5670000000000001,31,9,Senators,11,0/2,16,0.433,18,5,28,Sharks,9,1/3
VGK,OTT,1,12,0.446,49,9,Senators,8,1/2,24,0.5539999999999999,19,4,54,Golden Knights,4,1/4
ANA,OTT,5,17,0.563,11,9,Senators,17,3/8,17,0.43700000000000006,15,1,24,Ducks,21,0/6
LAK,OTT,3,17,0.485,37,9,Senators,4,1/2,22,0.515,32,2,26,Kings,4,2/2
OTT,NYR,3,19,0.294,30,3,Rangers,8,0/2,16,0.706,31,1,9,Senators,6,0/3
NYR,OTT,3,19,0.514,26,9,Senators,14,1/4,10,0.486,23,2,3,Rangers,18,0/2
OTT,SJS,2,21,0.41100000000000003,24,28,Sharks,17,1/4,11,0.589,25,5,9,Senators,15,3/5
OTT,LAK,5,21,0.429,16,26,Kings,8,2/3,17,0.5710000000000001,31,2,9,Senators,6,2/4
DAL,OTT,3,19,0.467,24,9,Senators,4,0/3,24,0.5329999999999999,21,4,25,Stars,6,0/2
NSH,OTT,3,16,0.536,26,9,Senators,13,2/6,17,0.46399999999999997,33,2,18,Predators,17,0/4
OTT,ANA,0,16,0.413,28,24,Ducks,10,0/3,21,0.5870000000000001,23,3,9,Senators,8,2/4
OTT,MTL,2,11,0.49,30,8,Canadiens,14,0/3,12,0.51,33,3,9,Senators,6,2/7
DET,OTT,6,17,0.627,18,9,Senators,14,3/5,15,0.373,14,3,17,Red Wings,10,1/7
MIN,OTT,2,16,0.51,27,9,Senators,6,0/3,19,0.49,16,4,30,Wild,6,0/3
WPG,OTT,1,9,0.551,31,9,Senators,2,1/2,16,0.449,23,5,52,Jets,4,0/1
OTT,WSH,3,25,0.441,14,15,Capitals,12,1/3,16,0.5589999999999999,30,2,9,Senators,6,1/6
